buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-06-09T13:08:00,2021-06-09T13:15:00,809.65,805.5017499999999,247,199983.55,198958.93224999998,10000,8850.233294017598,-1149.7667059824023,125.1489559823975,False
2021-06-14T09:27:00,2021-06-14T09:33:00,801.1,796.9945,220,176242.0,175338.79,8850.233294017598,7831.128318856707,-1019.1049751608919,115.8949751609,False
2021-06-14T09:34:00,2021-06-14T15:09:00,795.4,803.462,196,155898.4,157478.552,7831.128318856707,9302.551796580789,1471.4234777240817,108.72852227592001,True
2021-06-18T10:57:00,2021-06-18T10:59:00,778.3,774.3085,239,186013.69999999998,185059.7315,9302.551796580789,8228.879761364435,-1073.6720352163532,119.703535216365,False
2021-06-21T09:17:00,2021-06-21T09:25:00,768.05,764.10975,214,164362.69999999998,163519.4865,8228.879761364435,7274.401840332036,-954.4779210323985,111.264421032415,False
2021-07-01T14:40:00,2021-07-01T15:09:00,775.35,771.37325,187,144990.45,144246.79775,7274.401840332036,6427.03592510612,-847.3659152259163,103.7136652259025,False
2021-07-06T14:22:00,2021-07-06T14:33:00,786.35,782.31825,163,128175.05,127517.87475,6427.03592510612,5672.701159709547,-754.3347653965727,97.15951539657252,False
2021-07-09T09:16:00,2021-07-09T15:09:00,768.35,764.40825,147,112947.45,112368.01275,5672.701159709547,5002.039850150992,-670.6613095585552,91.2240595585525,False
2021-07-12T13:15:00,2021-07-12T15:09:00,769.05,765.10475,130,99976.5,99463.6175,5002.039850150992,4402.98903506756,-599.050815083432,86.16831508342501,False
2021-07-22T12:33:00,2021-07-22T15:09:00,759.15,755.25425,115,87302.25,86854.23874999999,4402.98903506756,3873.7496200605365,-529.239415007023,81.22816500701249,False
2021-07-28T10:21:00,2021-07-28T10:39:00,733.8,730.031,105,77049.0,76653.25499999999,3873.7496200605365,3400.7730198594763,-472.9766002010599,77.23160020104999,False
2021-07-28T14:39:00,2021-07-28T15:09:00,725.8,722.0709999999999,93,67499.4,67152.60299999999,3400.7730198594763,2980.4666259773403,-420.3063938821359,73.50939388213,False
2021-08-09T13:39:00,2021-08-09T15:09:00,770.0,766.05,77,59290.0,58985.85,2980.4666259773403,2606.0068781238388,-374.4597478535014,70.3097478535,False
2021-08-11T11:17:00,2021-08-11T11:21:00,772.6,768.637,67,51764.200000000004,51498.679,2606.0068781238388,2273.109490199741,-332.8973879240979,67.37638792409,False
2021-08-11T11:22:00,2021-08-11T15:09:00,768.7,772.56725,59,45353.3,45581.467749999996,2273.109490199741,2436.2518758346314,163.14238563489073,65.0253643651025,True
2021-08-18T11:46:00,2021-08-18T15:09:00,790.1,786.0495,61,48196.1,47949.019499999995,2436.2518758346314,2123.1856995597827,-313.06617627484866,65.98567627484499,False
2021-08-20T09:16:00,2021-08-20T09:33:00,782.7,786.746,54,42265.8,42484.284,2123.1856995597827,2277.8559501201394,154.67025056035675,63.81374943964,True
2021-08-27T09:16:00,2021-08-27T09:18:00,770.7,766.7465,59,45471.3,45238.0435,2277.8559501201394,1979.6758815662513,-298.18006855388813,64.923568553885,False
2021-09-01T12:34:00,2021-09-01T12:44:00,778.6,774.607,50,38930.0,38730.35,1979.6758815662513,1717.6519307177498,-262.02395084850144,62.3739508485,False
2021-09-02T10:11:00,2021-09-02T10:20:00,764.75,760.82625,44,33649.0,33476.354999999996,1717.6519307177498,1484.6914081156956,-232.96052260205408,60.31552260205001,False
2021-09-02T10:21:00,2021-09-02T14:11:00,760.75,756.8462499999999,39,29669.25,29517.003749999996,1484.6914081156956,1273.6808471755294,-211.01056094016627,58.764310940162495,False
2021-09-02T14:12:00,2021-09-02T14:53:00,755.25,751.37375,33,24923.25,24795.333749999998,1273.6808471755294,1088.8501626810648,-184.83068449446455,56.9144344944625,False
2021-09-07T11:36:00,2021-09-07T15:09:00,749.15,745.3042499999999,29,21725.35,21613.823249999998,1088.8501626810648,921.6554439280565,-167.1947187530084,55.6679687530075,False
2021-09-08T12:28:00,2021-09-08T15:09:00,751.35,747.49325,24,18032.4,17939.838,921.6554439280565,774.8648874790747,-146.7905564489817,54.22855644898,False
2021-09-14T13:11:00,2021-09-14T15:09:00,748.35,744.50825,20,14967.0,14890.164999999999,774.8648874790747,644.9961460919237,-129.86874138715095,53.03374138715,False
2021-09-15T12:48:00,2021-09-15T13:23:00,747.0,753.115,17,12699.0,12802.955,644.9961460919237,696.7471641038736,51.751018011949924,52.20398198805,True
2021-09-17T11:31:00,2021-09-17T12:07:00,758.6,754.707,18,13654.800000000001,13584.726,696.7471641038736,574.1508757204131,-122.59628838346052,52.52228838346,False
2021-09-20T12:09:00,2021-09-20T14:10:00,747.5,743.6625,15,11212.5,11154.9375,574.1508757204131,465.01803983978806,-109.132835880625,51.570335880624995,False
2021-09-20T14:57:00,2021-09-20T15:08:00,738.25,734.45875,12,8859.0,8813.505000000001,465.01803983978806,368.87004076123907,-96.14799907854898,50.652999078549996,False
2021-09-28T14:17:00,2021-09-28T15:09:00,797.3,801.6709999999999,9,7175.7,7215.039,368.87004076123907,358.187711856549,-10.68232890469006,50.02132890469,False
2021-09-30T12:34:00,2021-09-30T14:28:00,807.45,803.31275,8,6459.6,6426.502,358.187711856549,275.37191008412907,-82.81580177241996,49.71780177242,False
2021-10-01T09:15:00,2021-10-01T09:15:00,794.95,790.87525,6,4769.700000000001,4745.2515,275.37191008412907,201.86429498856364,-73.50761509556543,49.059115095565,False
2021-10-06T13:18:00,2021-10-06T14:35:00,835.0,830.725,4,3340.0,3322.9,201.86429498856364,136.26243632956374,-65.6018586589999,48.501858659,False
2021-10-12T09:17:00,2021-10-12T10:20:00,884.55,889.032,3,2653.6499999999996,2667.096,136.26243632956374,101.46543237990412,-34.79700394965963,48.24300394966,False
2021-10-18T12:07:00,2021-10-18T12:19:00,920.75,916.04625,2,1841.5,1832.0925,101.46543237990412,44.1401495292291,-57.325282850675016,47.91778285067499,False
2021-10-20T12:16:00,2021-10-20T15:09:00,898.55,893.9572499999999,0,0.0,0.0,44.1401495292291,-3.059850470770904,-47.2,47.2,False
