buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-06-09T13:10:00,2021-06-09T14:40:00,15660.35,15581.94825,12,187924.2,186983.379,10000,8938.723440338885,-1061.2765596611155,120.45555966109,False
2021-06-14T09:25:00,2021-06-16T10:25:00,15664.85,15796.420499999998,11,172313.35,173760.6255,8938.723440338885,10270.887893156269,1332.1644528173838,115.111047182605,True
2021-06-17T09:15:00,2021-06-18T09:55:00,15682.95,15604.43525,13,203878.35,202857.65825,10270.887893156269,9123.521425450414,-1147.3664677058557,126.6747177058575,False
2021-07-19T09:15:00,2021-07-19T14:40:00,15791.2,15712.144,11,173703.2,172833.584,9123.521425450414,8138.993413453764,-984.5280119966491,114.91201199663999,False
2021-07-27T13:05:00,2021-07-28T09:45:00,15717.3,15638.6135,10,157173.0,156386.135,8138.993413453764,7243.660113267923,-895.3333001858407,108.46830018585,False
2021-07-28T10:40:00,2021-08-06T10:35:00,15551.55,16244.319749999999,9,139963.94999999998,146198.87774999999,7243.660113267923,13374.603570280224,6130.9434570123,103.98429298770247,True
2021-08-10T14:05:00,2021-08-17T12:05:00,16243.7,16507.746,16,259899.2,264123.936,13374.603570280224,17449.054910333638,4074.451340053415,150.28465994656,True
2021-09-28T13:10:00,2021-10-01T09:15:00,17619.25,17531.053750000003,19,334765.75,333090.02125000005,17449.054910333638,15595.6295734361,-1853.4253368975387,177.6965868975875,False
2021-11-11T10:25:00,2021-11-15T11:25:00,17839.4,18118.452,17,303269.80000000005,308013.684,15595.6295734361,20172.08629728242,4576.456723846321,167.42727615364,True
2021-11-29T09:15:00,2021-11-29T09:15:00,16838.1,16980.221750000004,23,387276.3,390545.1002500001,20172.08629728242,23241.050521008332,3068.96422372591,199.83602627417753,True
