buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-09-23T09:45:00,2021-09-23T10:15:00,448.2,448.57550000000003,111,49750.2,49791.88050000001,10000,9974.993909362855,-25.00609063714552,66.686590637155,False
2021-09-24T13:45:00,2021-09-24T13:00:00,442.653625,442.75,112,49577.206,49588.0,9974.993909362855,9919.178937646597,-55.81497171625831,66.60897171626,False
2021-09-27T10:30:00,2021-09-27T12:15:00,445.6,446.231375,111,49461.600000000006,49531.682625,9919.178937646597,9922.678826975929,3.499889329331708,66.58273567066375,True
2021-09-28T14:30:00,2021-09-28T14:00:00,441.40049999999997,443.05,111,48995.4555,49178.55,9922.678826975929,10039.336805547031,116.65797857110152,66.436521428905,True
2021-09-29T11:15:00,2021-09-29T11:45:00,451.85,453.164,111,50155.350000000006,50301.204,10039.336805547031,10118.312221613684,78.9754160666521,66.87858393333998,True
2021-10-01T10:00:00,2021-10-01T09:45:00,449.4205,448.2,112,50335.096,50198.4,10118.312221613684,9914.757898111528,-203.55432350215625,66.85832350215999,False
2021-10-04T09:45:00,2021-10-04T10:15:00,457.0,457.004375,108,49356.0,49356.472499999996,9914.757898111528,9848.71132105605,-66.04657705547878,66.519077055475,False
2021-10-06T14:30:00,2021-10-06T14:15:00,457.490625,457.55,107,48951.496875000004,48957.85,9848.71132105605,9788.701813638512,-60.009507417537066,66.36263241753124,False
2021-10-11T10:15:00,2021-10-11T11:00:00,461.0,459.7475,106,48866.0,48733.235,9788.701813638512,9589.652262981663,-199.04955065684942,66.28455065685,False
2021-10-20T09:30:00,2021-10-20T09:15:00,484.558125,486.45,98,47486.69625,47672.1,9589.652262981663,9709.209309498823,119.55704651716017,65.8467034828375,True
2021-10-20T10:15:00,2021-10-20T10:45:00,502.7,504.635,96,48259.2,48444.96,9709.209309498823,9828.820118345226,119.61080884640204,66.1491911536,True
2021-10-21T14:15:00,2021-10-21T14:00:00,497.23974999999996,495.9,99,49226.73525,49094.1,9828.820118345226,9629.759077084698,-199.06104126052685,66.42579126052749,False
2021-10-21T14:45:00,2021-10-22T09:30:00,500.35,505.832,96,48033.600000000006,48559.872,9629.759077084698,10089.860984679575,460.1019075948772,66.17009240512,True
2021-10-28T11:15:00,2021-10-28T10:15:00,507.06424999999996,509.5,99,50199.36074999999,50440.5,10089.860984679575,10264.07386512595,174.21288044637495,66.9263695536325,True
2021-11-01T13:45:00,2021-11-01T14:00:00,511.2,509.822,100,51120.0,50982.2,10264.07386512595,10059.108668563948,-204.96519656200292,67.165196562,False
2021-11-08T13:15:00,2021-11-08T13:00:00,520.7985,520.85,96,49996.656,50001.600000000006,10059.108668563948,9997.28139188219,-61.82727668175686,66.77127668176,False
2021-11-09T09:15:00,2021-11-09T09:45:00,523.95,524.5351250000001,95,49775.25000000001,49830.83687500001,9997.28139188219,9986.16741126051,-11.113980621680383,66.70085562168126,False
2021-11-10T12:00:00,2021-11-10T11:30:00,525.2094999999999,525.65,94,49369.69299999999,49411.1,9986.16741126051,9961.036846387487,-25.130564873023488,66.53756487303001,False
2021-11-18T14:45:00,2021-11-18T15:00:00,505.1,503.73725,98,49499.8,49366.2505,9961.036846387487,9760.954965331632,-200.081881055856,66.532381055855,False
2021-11-22T10:45:00,2021-11-22T10:15:00,494.934,496.15,98,48503.532,48622.7,9760.954965331632,9813.89949446691,52.94452913527785,66.22347086472,True
2021-11-24T09:15:00,2021-11-24T10:00:00,496.4,496.605125,98,48647.2,48667.30225,9813.89949446691,9767.753810450316,-46.14568401659395,66.2479340165975,False
2021-11-25T10:00:00,2021-11-25T09:45:00,491.42525,490.1,99,48651.09975,48519.9,9767.753810450316,9570.353124057994,-197.40068639232226,66.2009363923225,False
2021-12-01T14:30:00,2021-12-01T15:00:00,474.15,475.907,100,47415.0,47590.7,9570.353124057994,9680.237596010991,109.88447195299709,65.815528047,True
2021-12-06T09:15:00,2021-12-03T15:00:00,474.18224999999995,472.9,102,48366.589499999995,48235.799999999996,9680.237596010991,9483.358391049447,-196.87920496154396,66.089704961545,False
2021-12-06T10:30:00,2021-12-06T10:45:00,476.15,474.859625,99,47138.85,47011.102875,9483.358391049447,9290.001147162904,-193.35724388654296,65.61011888654126,False
2021-12-06T11:30:00,2021-12-06T11:15:00,472.828875,471.55,98,46337.22975,46211.9,9290.001147162904,9099.374273198284,-190.62687396461965,65.2971239646225,False
2021-12-07T12:00:00,2021-12-07T12:30:00,475.7,476.05662500000005,95,45191.5,45225.379375000004,9099.374273198284,9068.353925813932,-31.020347384352178,64.89972238435625,False
