buytime,selltime,buyprice,sellprice,quantity,buyvalue,sellvalue,opening_balance,closing_balance,pnl,charges,success
2021-06-18T11:00:00,2021-06-18T10:30:00,2196.0249999999996,2200.8,22,48312.54999999999,48417.600000000006,10000,10038.905811093517,38.90581109351746,66.1441889065,True
2021-06-21T12:30:00,2021-06-21T15:00:00,2227.0,2236.11275,22,48994.0,49194.4805,10038.905811093517,10172.94478351236,134.03897241884283,66.441527581155,True
2021-06-24T13:30:00,2021-06-24T09:30:00,2173.1109999999994,2202.4,23,49981.552999999985,50655.200000000004,10172.94478351236,10779.611958707748,606.6671751953891,66.97982480463,True
2021-07-05T14:15:00,2021-07-06T09:15:00,2148.3,2137.4585,25,53707.50000000001,53436.4625,10779.611958707748,10440.439193494367,-339.17276521338084,68.135265213375,False
2021-07-07T13:45:00,2021-07-07T09:45:00,2114.7204999999994,2104.1,24,50753.29199999999,50498.399999999994,10440.439193494367,10118.563086353055,-321.87610714131256,66.98410714132,False
2021-07-19T09:15:00,2021-07-19T10:45:00,2119.35,2108.65325,23,48745.049999999996,48499.02475,10118.563086353055,9806.336951639983,-312.22613471307125,66.2008847130725,False
2021-07-20T12:45:00,2021-07-20T12:30:00,2104.5699999999997,2094.0,23,48405.10999999999,48162.0,9806.336951639983,9497.15819129189,-309.1787603480933,66.0687603481,False
2021-07-20T13:00:00,2021-07-22T09:30:00,2103.0,2107.708,22,46266.0,46369.576,9497.15819129189,9535.391535712932,38.23334442104094,65.34265557895999,True
2021-07-22T10:00:00,2021-07-23T09:30:00,2104.0,2122.5335000000005,22,46288.0,46695.73700000001,9535.391535712932,9877.67972141967,342.28818570673826,65.44881429327,True
2021-07-27T10:30:00,2021-07-26T12:45:00,2080.7515,2088.15,23,47857.284499999994,48027.450000000004,9877.67972141967,9981.858349343185,104.17862792351507,65.986872076495,True
2021-08-03T15:00:00,2021-08-04T10:15:00,2085.65,2103.33,23,47969.950000000004,48376.59,9981.858349343185,10322.391537999778,340.53318865659213,66.1068113434,True
2021-08-10T09:15:00,2021-08-09T13:45:00,2082.30925,2071.85,24,49975.42199999999,49724.399999999994,10322.391537999778,10004.688663586161,-317.7028744136172,66.68087441362,False
2021-08-10T10:45:00,2021-08-10T12:15:00,2108.25,2097.60875,23,48489.75,48245.001249999994,10004.688663586161,9693.838549012768,-310.8501145733936,66.1013645733875,False
2021-10-21T14:15:00,2021-10-21T13:30:00,2616.7179999999994,2629.65,18,47100.92399999999,47333.700000000004,9693.838549012768,9860.90365174974,167.06510273697256,65.71089726304,True
2021-11-11T11:45:00,2021-11-11T13:45:00,2552.4,2557.5475,19,48495.6,48593.402500000004,9860.90365174974,9892.49263775797,31.588986008230236,66.213513991775,True
2021-11-18T09:15:00,2021-11-17T09:15:00,2474.7617499999997,2485.0,19,47020.473249999995,47215.0,9892.49263775797,10021.352247444467,128.85960968649704,65.6671403135075,True
2021-11-29T11:30:00,2021-11-29T13:00:00,2474.75,2462.27625,20,49495.0,49245.524999999994,10021.352247444467,9705.383923671712,-315.9683237727558,66.49332377274999,False
2021-12-01T09:15:00,2021-11-30T14:45:00,2409.13525,2432.55,19,45773.569749999995,46218.450000000004,9705.383923671712,10085.004805455199,379.62088178348677,65.2593682165225,True
2021-12-01T14:15:00,2021-12-02T09:30:00,2459.0,2471.9775,20,49180.0,49439.55,10085.004805455199,10278.021529574702,193.0167241195029,66.5332758805,True
